First,Run_Time,Third,Fourth,Fifth
9.6991,359.29,678,0.52993,0.005849
9.3474,346.78,660,0.52542,0.0057993
10.45,388.86,742,0.52407,0.0057844
10.035,384.06,732,0.52467,0.005791
8.7485,328.69,624,0.52675,0.0058139
8.9719,336.62,634,0.53095,0.0058603
8.8148,336.16,640,0.52525,0.0057974
8.1611,306.07,580,0.52771,0.0058245
9.5458,362.17,688,0.52641,0.0058102
9.8232,376.61,714,0.52746,0.0058218
10.061,380.92,724,0.52613,0.0058071
9.1065,343.21,650,0.52802,0.0058279
10.156,380.63,724,0.52573,0.0058027
9.5595,359.43,684,0.52548,0.0058
10.198,391.02,744,0.52556,0.0058009
8.8793,342.5,644,0.53183,0.00587
10.046,382.7,720,0.53153,0.0058667
10.015,387.82,730,0.53126,0.0058637
10.604,396.06,756,0.52389,0.0057824
9.9447,370.75,704,0.52663,0.0058127
10.02,385.84,734,0.52567,0.005802
10.067,383.01,722,0.53048,0.0058552
9.1065,348.05,660,0.52735,0.0058206
9.3324,346.35,654,0.52959,0.0058453
10.605,393.92,750,0.52523,0.0057971
8.6855,328.45,618,0.53147,0.0058661
9.0097,339.92,638,0.53279,0.0058806
9.8953,364.43,698,0.52211,0.0057627
9.1051,346.7,660,0.5253,0.005798
10.907,415.85,788,0.52773,0.0058248
9.6571,363.06,692,0.52465,0.0057908
9.9277,376.51,718,0.52439,0.0057879
9.5288,365.03,694,0.52598,0.0058055
9.6317,365.72,694,0.52697,0.0058164
9.8812,377.01,714,0.52803,0.005828
10.203,384.98,720,0.53469,0.0059016
9.4009,355.34,666,0.53354,0.0058889
9.8329,377.12,710,0.53115,0.0058626
8.9763,334.85,630,0.53151,0.0058665
10.061,388.89,736,0.52838,0.005832
10.471,389.68,740,0.52659,0.0058122
9.7664,368.61,698,0.52809,0.0058288
9.3126,352.41,670,0.52599,0.0058055
9.4238,357.98,680,0.52644,0.0058105
10.501,406.81,770,0.52832,0.0058313
9.3598,358.58,672,0.5336,0.0058896
9.401,354.84,672,0.52804,0.0058281
6.575,198.83,402,0.4946,0.0054591
7.7474,234.94,476,0.49357,0.0054477
7.1573,206.72,420,0.49219,0.0054325
8.3012,256.88,522,0.49211,0.0054316
6.6802,206.17,416,0.4956,0.0054701
6.9881,199.73,406,0.49195,0.0054298
7.3899,212.16,428,0.4957,0.0054713
8.0144,243.02,494,0.49194,0.0054298
7.9672,237.39,482,0.49251,0.005436
8.3078,244.47,496,0.49288,0.0054402
7.6369,225.17,454,0.49597,0.0054742
6.6638,196.31,396,0.49573,0.0054716
6.3368,181.89,370,0.49159,0.0054259
7.9551,234.36,474,0.49443,0.0054572
7.3366,219.88,448,0.4908,0.0054172
5.9213,164.43,332,0.49527,0.0054665
7.7136,241.75,488,0.49539,0.0054678
7.4614,211.84,430,0.49265,0.0054376
7.6081,231.76,468,0.49521,0.0054659
8.5965,263.91,536,0.49237,0.0054345
7.5655,219.47,446,0.49209,0.0054313
7.2004,215.59,438,0.49221,0.0054328
8.2403,253.44,516,0.49116,0.0054212
8.5623,256.7,522,0.49176,0.0054278
8.8337,269.02,546,0.49271,0.0054382
8.1609,249.75,508,0.49163,0.0054264
8.0683,243.1,494,0.49211,0.0054316
7.4003,221.92,446,0.49758,0.005492
7.1001,213.06,430,0.49549,0.0054689
7.9229,242.25,488,0.49641,0.0054791
